date_info,name,title,content,rating
Reviewed in India on 24 June 2020,Rick,I am using this for office use. Not gaming. Looks beautiful.,"The price i got this for was brilliant.. Best for apps like outlook, excel - you can see a lot extra than a laptop",5.0 out of 5 stars
Reviewed in India on 25 February 2021,Tamil Nerdy Gamer,Budget Monitor,"Go for it, If you are looking for Gaming Monitor with best response time and also within budget.. I got this monitor for 7,700 Rs.. Received the product in two days with standard delivery. Packaging was Good.. Reviewed By - Tamil Nerdy Gamer",4.0 out of 5 stars
Reviewed in India on 13 November 2020,Diganta Roy Chowdhury,Additional corshair for gaming is love.,"If u r a gamer this is best under 10k. Playing rogue company, the additional corshair aid helps a lot. Even with out gsync u will get good refresh rates and no drop in fps if u hv a good gpu. I just have gtx1650oc, refresh rate is consistent",5.0 out of 5 stars
Reviewed in India on 26 September 2020,Meet Bakshi,Excellent Product,"The 1080p reolution is not looking amazing but is very good and usable you won't notice it unless you watch it from very close distance. The picture quality, colour reproduction and response time is excellent.",4.0 out of 5 stars
Reviewed in India on 3 March 2020,AMAN k.,Best screen,Screen is op. I like its menu button its like joy stick😄😍💕. And also screen is best in this budget i purchase it 7600 Rs approx,5.0 out of 5 stars
Reviewed in India on 8 August 2020,Avik G.,Good value at decent price.,Satisfies your priority - If priority is immersive Display and gaming then this monitor will be effective in satisfying your priority. However I'm unable to move it upward or downward but it seems there is some way to do it.,5.0 out of 5 stars
Reviewed in India on 1 August 2020,Abhijeet S.,Good Monitor,"Nice product, have been using it for 6months plus, good 1080P 75htz monitor",4.0 out of 5 stars
Reviewed in India on 16 January 2020,Amazon Customer,Good product,Cannot adjust the angle at which monitor is facing you,5.0 out of 5 stars
Reviewed in India on 22 September 2019,Hitesh Bansal,Overall good to use.,"I like this product, the colors are very attractive and look completely stylish. I have not play game on this still, will play and check the performance.. As i have LG 21.6 inch monitor also, their quality is more than acer monitor. But Overall it is good to use.",4.0 out of 5 stars
Reviewed in India on 9 March 2020,mamidi venkata madhavarao,Very good product,Good product buy this,5.0 out of 5 stars
Reviewed in India on 11 December 2020,David Barman,Good . ❤❤,Nice .product .... M using this for video editing ..,4.0 out of 5 stars
Reviewed in India on 6 August 2020,Melvin,Great moniter,It is a great moniter for gaming. 75hz 1ms rp and va pannel. Deep blacks. Best for amd users but i noteced a problem when i use my brother's laptop which has nvedia gpu the colour gamut changes drasticly,5.0 out of 5 stars
Reviewed in India on 30 July 2020,Saif Shariq,Value for money,Pretty good at this price range plus the monitor is quite big enough for me. Just faced a little issue with the color calibration which I had to manually set according to my preference.,4.0 out of 5 stars
Reviewed in India on 14 May 2020,Yaswanth,Its Actually good for such a price point,i saw some reviews saying that it has very bad ghosting but i didnt see that much as they did.. for pc gaming its superb at 75hz refresh rate,5.0 out of 5 stars
Reviewed in India on 6 October 2019,Ashok Kalita,Beast,The greatest monitor I have seen in this range totally beast...no words.....ALERT ITS NOT 75HZ ITS 60Hz seller is faking this,4.0 out of 5 stars
Reviewed in India on 4 March 2020,kariya,Good,Good,5.0 out of 5 stars
Reviewed in India on 12 February 2020,Rahul Das,Review of acer 75hz monitor,No compromise on build quilty and performance . A great budget monitor to grab 75hz maximum refresh rate. Won't get any monitor in this budget.,5.0 out of 5 stars
Reviewed in India on 7 March 2020,anil lohar,Not IPS display overal good game play,Note IPS display,3.0 out of 5 stars
Reviewed in India on 25 November 2020,Varchasvi Pandey,Best in this price,"Colors are a bit washed out, but you can manually set them to fit according to your needs.. Frames are perfect.. Too bright! Do adjust the brightness to protect your eyes.",5.0 out of 5 stars
Reviewed in India on 11 September 2019,Prateek Karna,Loved it.,Good monitors for voth gaming and working.,5.0 out of 5 stars
Reviewed in India on 9 October 2019,Sreejith,Deep black,Crital clear display.. and deep black and white on lcd.. dont know how they achieved.. first time I seen deep black on lcd screen. Only downside is no audio jack..,5.0 out of 5 stars
Reviewed in India on 9 November 2019,Sukhman,Value for money,The colors are awesome the picture quality is awesome everything looks great and perfect for a gamer for a smooth and tear free gameplay,5.0 out of 5 stars
Reviewed in India on 16 August 2019,Chethan kumar,Anti glare is reallygood,Good for gaming,5.0 out of 5 stars
Reviewed in India on 22 October 2020,RISHAV Thakur,Amazon Deliver Damage Product,Such a waste product . Don't even turning on . I got damaged Product from Amazon .,1.0 out of 5 stars
Reviewed in India on 8 August 2020,Varun S Bhat,Dead pixel found,"Packing from the seller was excellent, but Dead pixel found",5.0 out of 5 stars
Reviewed in India on 16 March 2021,Jayendra Patel,Thank you Amazon,Perfect monitor and good delivery,5.0 out of 5 stars
Reviewed in India on 31 December 2019,Bonny,Superb Monitor,75hz refresh rate with amd free sync. Its awesome,5.0 out of 5 stars
Reviewed in India on 2 August 2020,vishal,Picture and gaming,Cool and nice clear picture the better the internet you have it can go up to 4k videos that you can play in YouTube . Gaming experience is good in this moniter,5.0 out of 5 stars
Reviewed in India on 8 August 2020,Aman Negi,Fine not Good in this price Section,In this price range go for Lg Monitor Because in gaming its not better for day to day use its perfect and its good for kids and Studying Students.,3.0 out of 5 stars
Reviewed in India on 16 January 2020,Sumit,"Average, gets the job done !",The colours are horrible !! Viewing angles are pretty average. I would definitely suggest an IPS 24 inch panel over this !! Though if you need a 27 inch monitor that bad it will get the job done !,3.0 out of 5 stars
Reviewed in India on 4 November 2019,Shaleen,Received original product in full packing and no damage,"the monitor is working fine. it has been 3 months since i bought it,. Good brightness and good display",5.0 out of 5 stars
Reviewed in India on 30 July 2020,Tushar Shankhwar,Worth your Money,"Fantastic Picture quality and brightness for a VA panel. However, it would have been better if they had provided an 3.5mm audio output.",5.0 out of 5 stars
Reviewed in India on 9 August 2020,ASHISH G C,Best Buy at 7k price tag,It serves the purpose for this price point,5.0 out of 5 stars
Reviewed in India on 22 August 2020,Shubham Yadav,Best Gaming,I Buy this product at 10490 at this price best gaming monitor,5.0 out of 5 stars
Reviewed in India on 14 December 2019,Subrata Praharaj,Average performance,Sound system is not working. No provision for external speakers.,3.0 out of 5 stars
Reviewed in India on 21 October 2020,Srinivasan,Good at this price,Good one,3.0 out of 5 stars
Reviewed in India on 5 July 2020,Debendra Sahoo,Good deal go for it,Good gaming monitor from acer.Nice design n 75hz refresh rate awesome,5.0 out of 5 stars
Reviewed in India on 18 October 2020,Vishal,Awesome monitor,"Very nice product , the picture quality is good and also has a lot of gaming features ......best monitor at this price ..... totally worth it!",5.0 out of 5 stars
Reviewed in India on 31 December 2020,LYNN,Cool,Good so far,4.0 out of 5 stars
Reviewed in India on 4 November 2019,Eshan,VERY GOOD MONITOR,VERY GOOD MONITOR AND QUALITY WAS VERY GOOD THE COLOURS WERE VERY GOOD GOOD MONITIR FOR GAMING MUST BUY AND THEPRICE WAS CHEAP THERE ARE MANY FUNCTIONS AT THIS PRICE THIS MONITOR IS VERY GOOD,5.0 out of 5 stars
Reviewed in India on 24 August 2020,Anurag Minj,GOOD PRODUCT,If You Want big but budget monitor Go for it Used it for a month and now i feel uncomfortable in small sized monitors.,5.0 out of 5 stars
Reviewed in India on 27 March 2021,Abhishek Babu,Superb,"Superb product, go for it",5.0 out of 5 stars
Reviewed in India on 21 June 2020,Amazon Customer,Bad stand rest al good,"The monitor is good, the panel quality is acceptable for the price.. Only thing that is horrible is the stand, very week.",4.0 out of 5 stars
Reviewed in India on 22 May 2020,Amazon Customer,Looks good,Screen is pretty bright and colors look great!,5.0 out of 5 stars
Reviewed in India on 3 August 2019,R3V0,Great Monitor but no Speakers,"Love the monitor, but there should be a disclaimer saying that it doesn't have in built speakers",4.0 out of 5 stars
Reviewed in India on 2 December 2020,Prasanth,Excellent,I felt it's an IPS display though it's VA... Simply super.I am luving it.,5.0 out of 5 stars
Reviewed in India on 6 March 2020,harshdeep singh,Best monitor at this price range.,For this price this is the best one.,5.0 out of 5 stars
Reviewed in India on 4 October 2019,PANKAJ,Monitor has no wow factor but its OK type monitor,I think its ok monitor for all-purpose.,3.0 out of 5 stars
Reviewed in India on 11 January 2021,SudhAnShu,VERY GOOD ☺️,it is GOOD FOR GAMING............. AND GOOD FOR MOVING WATCHING... it iS EASY TO INSTALL ....😄🙂,4.0 out of 5 stars
Reviewed in India on 15 January 2020,ARPAN GUPTA,Awesome for 8k price,For the price of 8k i must say its an awesome monitor gameing is vgood. For APU build ita an awesome monitor,5.0 out of 5 stars
Reviewed in India on 5 November 2019,debojit,Good Device,Its a good monitor,3.0 out of 5 stars
Reviewed in India on 9 June 2020,Amazon Customer,Good,If you are buying this you need to know that it won't be at 75hz default you have to do some settings in nvidia control panel,5.0 out of 5 stars
Reviewed in India on 26 February 2020,Ramesh Master ,Prefer to buy it again.,The best product.,5.0 out of 5 stars
Reviewed in India on 22 March 2021,Vishnu,The moniter is best for normal use and gaming and video editing,Best budget moniter best picture quality and best for gaming and best for normal use,4.0 out of 5 stars
Reviewed in India on 11 February 2021,sarvesh,A brilliant monitor.,Needs a bit fine tuning at the start to get the perfect picture. After that its great!,5.0 out of 5 stars
Reviewed in India on 5 October 2020,Amazon Customer,Good for gaming,It’s good for gaming,4.0 out of 5 stars
Reviewed in India on 20 March 2021,Surya Prakash Jena,Nice product,Good one in budget,5.0 out of 5 stars
Reviewed in India on 4 March 2020,Narendra,Good,Awesome product,5.0 out of 5 stars
Reviewed in India on 21 February 2021,Mintu Roy,Very good monitor,Good for gaming. Review after 1.5 year,5.0 out of 5 stars
Reviewed in India on 4 March 2020,Deb.,Best affordable gaming monitor,Best affordable gaming monitor,5.0 out of 5 stars
Reviewed in India on 9 October 2019,Wasim,i like this,this is good for all work,5.0 out of 5 stars
Reviewed in India on 23 June 2020,Nilkamal,Just buy it,Just awasome.,5.0 out of 5 stars
Reviewed in India on 26 October 2020,Ranjan,Value for money,Value for money product,5.0 out of 5 stars
