date_info,name,title,content,rating
Reviewed in India on 14 October 2020,Koushik Nath,Not worth buying becasue of two reasons - JBL's packaging & JBL's support over such issues,I had to return this product and get a refund for no technical issue but rather callous decisions by JBL over its packaging and its effect on the product ergonomics. I have attached the photos comparing its OEM packaging to another JBL's neckband packaging of exactly the same price available on flipkart.. I had discussed this problem with Amazon & JBL over three days and after JBL's non-support over the issue and failing to provide me with an alternative solution. Amazon helped me get a refund on this product. It is a good thing that I had bought this on Amazon else if I had bought it on JBL's website (where it was cheaper) I would never be able to return the product and would have to accept a defective piece.. If the problems as mentioned in the photos are not an issue for you. This headphone does provide a solid audio experience.,1.0 out of 5 stars
Reviewed in India on 24 January 2020,akhil.a.a,Value for money,"This review is based on my first impression with the product, will update later for more info. First impressions,. 1) good battery backup. 2) Ample bass in normal bass mode &. heavy bass in deep bass mode.( Deep. bass can only be enjoyable if the song. has noticable bass). 3) As a former JBL user i don't find that. glide 120 has a noticable difference. In bass and overall sound quality. 4) Good packing by Amazon 👍. 5) better than a neckband and easy to. carry in jeans pocket.. Will update more after a couple of days",5.0 out of 5 stars
Reviewed in India on 12 February 2020,Nandu,Honest Review after a month usage.. Big shoutout for infinity,"This is True review afyer using for a month.. SOUND QUALITY is awesome than i expected, easy to carry, fits in pocket with ease. It gives me full day backup and my usage is moderate,will give 8 hours or more in heavy usage at end of the day more than 30 percent battery is remaining. I didn't felt stressed or pain when i am playing music continuously, i think due to 12mm driver. Each and every beat is crystal clear big shoutout for this. Light weight too.. I am pretty much happy with this purchase on amazon lightening deal. Better than boat 225.No connectivity issues so far and no signal interception or signal loss so far. Battery full charge time is 1 nd half hour. Easy accessible button while riding bike which i found usefull than others. Go for it cheers. True Sound quality",5.0 out of 5 stars
Reviewed in India on 9 January 2020,tajinder,Value for money,"Good quality earphones , 100% Satisfied earlier using edifier w280 , it's bass is awesome for high beat songs , recommended for gym lovers.",5.0 out of 5 stars
Reviewed in India on 26 May 2020,Rahul W,Worst product and even worse JBL customer care,Worst product ever and the single most pathetic customer service I have ever experienced. After delivering a faulty product (battrey drain in 30 mins) the customer care guys aswell as their collection center just makes one go from pillar to post without any real resolution or replacement. Buy JBL only if you have enough free time to keep calling their customer care number and visiting their collection centers.. #Follow up riview after replacement after months of delebrations... still..the most pathetic product ever. The battrey wont last more than 2 hrs. The buds are a pain in the ears. In all.. just avoid,1.0 out of 5 stars
Reviewed in India on 30 July 2020,Kumar S,Lot of distortion if we talk near to any electro magnetic field,"I found a major drawback in this product. I work in data centre & lots of network products, while talking they can't hear my voice at all& even I can't hear.. kind of scattered voice I use to feel. But I have boat wireless earphone it works awesome in data centre & anywhere. Thought it's a good brand & purchased, but within a day I found the sagging issue while taking , specifically while working in data centre where network products are more.",1.0 out of 5 stars
Reviewed in India on 12 July 2020,Jithin John,Bad battery backup,"Sound quality is good. But very bad battery back up. Will not lasts for one day usage. We have to charge now and then. Better to go for One plus 20hr battery backed up wireless ear phone.. And the collar portion is just wire. Don't expect rigid collar band. Its just flexible wire. While laying on bed mic will go back, so you can't talk while laying on bed.",1.0 out of 5 stars
Reviewed in India on 17 January 2020,Shekhar B.,Fully value for money,Everything is very good.. I purchased this product without seeing any review but this earphone really gets 5*. But one thing i should mention that you can easily change next music track by pressing the volume + button but if you press the - button the same music play from the first but not plays previous song..so i found this issue in the very first time use. In this price range no company is giving you this sound quality.. Thanks Harman.,5.0 out of 5 stars
Reviewed in India on 27 January 2020,Amazon Customer,Awesome product at this Price Range,"I am a music lover person and i have used realmebuds, boat 225 rockers before. Now i can easily say that Infinity is much better than the above two in sound quality. No doubt, its a harman product and u will feel like same.. Everything is perfect. Only one thing i found not good, is when you go for volume more than 80%, then u will not be able to bear the sound, but i think 70-80% is enough to listen song. and one more thing, Infinity 80% = Boat 100%",5.0 out of 5 stars
Reviewed in India on 21 January 2020,Amazon Customer,Missing Real Time price from Amazon,Amazon must update their discount rates for MRP.. Box MRP: 2999/- Amazon MRP before discount: 3199/-. Please be updated realtime Amazon !! ;-). Product is good at 1199 price however doesn’t worth for MRP.. Bass( only if u r are bass lover & can use deep bass function) 5/5 Otherwise 4/5. Treble: 3/5. Overall Sound Quality: 3.5,3.0 out of 5 stars
Reviewed in India on 29 January 2020,Lucky,Great wireless headphones,Guys if u r looking for great music this is the one where u should try ur hands on. Review after 1day. Pros. Great base with option of normal and deep base.. Dual mobile connectivity ( I saw few reviews that it doesnt connect but it really does ). Calling is normal u can here background noise but better the others. Earbuds fits perfectly. Cons. Battery back up is normal 6-7 hrs. Keys are quite hard to press not yet handy I hope with time it ll be handy. Review after 2 days. 1. Neck band wire is too much flexible so if u r driving at more speed then it may flew away. More review after few months of use,4.0 out of 5 stars
Reviewed in India on 15 January 2020,VIKAS MEHENDALE,Excellent wireless earphones with great sound quality,Most underrated earphones...guys without much think just buy this wireless earphones...it's truly amazing...JBL & Harman brand's infinity Glide N120 most recommended earphone than any other earphones compare to any other popular brands.. After using 3-4days of use my review:. Pros:. 1.quality of earphones is great.product is light weight & looks luxury.. 2.Sound quality is much better than rivals in the market...bass is amazing when you use dual equalizer feature of this earphone.. 3.magnetic back for earphones provide hazel free use.. 4.battery back up was almost 6-7 hrs if we use it with full volume in single charge.. 5.within 2 hrs battery completely charge.. 6. Most important price. No one can give all this package with brand warranty of Harman sound under Rs.1500.. Cons:. Hard Plastic around eartips hurts a bit when you use it for long duration.,5.0 out of 5 stars
Reviewed in India on 26 February 2020,Aman,Not a good earphones for playing games,"The product is good if you want to use it to listen songs, if you want play games like pubg, etc with this earphones then this is not the product you are looking for as there is sound lag of approx 800ms(i.e. when a player fires bullet at you then the the sound of the bullet fire comes to your ear approximately 800ms later). So you can buy this product according to your requirements.",1.0 out of 5 stars
Reviewed in India on 6 July 2020,Amazon Customer,Only Bluetooth Connection problems,"Only been 3 days since I bought it.. The only problem i am facing is bluetooth connectivity.Whenever I am connecting it with my laptop,the only thing that is connecting is voice.. Let me explain.. Whenever a bluetooth audio device gets connected to my laptop having Windows 10,it shows that the device connected has 2 features,voice and music.When the device connected shows that both music and voice has been connected,it means you can both take calls and listen music.But this device is connecting and the only feature it is showing is voice,which means I can only take calls and can't listen to music.I have to disconnect and reconnect again and again to enable both voice and music. Because much of my work revolves around laptops,this is becoming a hindrance and a nuisance.I hope that that this problem doesn't escalate as the days pass.. Other than Bluetooth connectivity,everything is working fine.Normal vocals,normal bass and treble notes.. A problem I encountered ,which is a bit surprising is that the previous headphone i had was showing a strange problem.When that headphone was connected to my phone,the facebook videos didn't play even after I clicked play.Video statuses on whatsapp also didn't play at all.Mxplayer videos also stopped playing.. Just saying about the different problems i had encountered with headphones.Peace out...:-)",3.0 out of 5 stars
Reviewed in India on 3 February 2020,reny bhatia,Best under 2000 Rs,"Pros -. Good sound quality.. Listen to music for hours.. Good build. Metallic ear cups. Flexible neck band . Pocket friendly.. 5.0 Bluetooth. Good call quality.. 13 - 15 ft range.. Cons -. Not for sport activities, as it keeps on slipping from the ear. Basically no locking mechanism.. I usually listen to Polk audio.. and have listened to many headphones .. Sound quality is easily the best even when compared with wired earphones under 2000.. Violins ,guitars and background instruments come to life.. Vocals are little recessed , not forward .. Bass is smooth. Not thumping one. It's more musical.. Good imaging and soundstage.. When comparing it with high end headphones ,you will feel it bit muffled.But good part is ,it still goes on and touches little nuances of the song which other earphones clearly miss out on this price bracket.",5.0 out of 5 stars
Reviewed in India on 28 July 2020,Anuj Pundir,"Good for Music, Not for Calls",Bought it at 1349.. Gives backup of around 6-8 hours easily on full charge.. Full charge takes around 2 hours.. No fast charging. DONT CONNECT IT TO FAST CHARGER.. Pros:. 1. Good bass.. 2. Sound quality is also ok.. 3. Loud. (Warning- dont use full volume. May damage ur ear drums coz of long exposure).. Cons:. 1. Major issue- mic is not that good. You have to be louder so that the other person can listen to you on call.. 2. No hard collar band makes is slipping sometimes. So you havr to make adjustments.,3.0 out of 5 stars
Reviewed in India on 13 February 2020,Nilendu Maiti,Very handy,"It supports voice assistant. I love this feature and it is very handy too. It is effectively integrated with voice assistants like Siri, Alexa and Google assist. All I need to do is click the power button twice and it gets activated. The remote in this device has three buttons that can be used for lowering or increasing the volume, changing the track, fast forward or reverse and call answering and disconnecting and play pause of the track. These features make it the best gadget to pair it up with a smartphone that I have.",5.0 out of 5 stars
Reviewed in India on 10 January 2020,DJ MASTER,"Mind blowing, excellent sound Output Awesome, I feel every instrumemt sound very clear, go blank","Crystal clear sound bass is little bit high when switch on deep bass, it may vocal down, no required deep bass, vocal and mid are super clear, good product from infinity I give 5 star for mid range premium Product",5.0 out of 5 stars
Reviewed in India on 18 February 2020,Deepak K.,Excellent Sound Quality Best in Market,"Excellent unmatched sound quality. Harman sound makes JBL and also Infinity.I had Boat Rockerz earlier, but failed within 10month. Here the comparison.... Boat/Infinity out of 10. Sound- 8/10. Bass- 6/10. Battery- 8/8. Built Quality- 9/7. Connectivity-10/10. Ear Buds- 8/9",5.0 out of 5 stars
Reviewed in India on 17 September 2020,RK,Mic issue and poor Bluetooth connectivity,"I think don’t buy if you want to use it with your laptop or system. Mic only works if you hold it in front of your lips else it doesn’t work.. I was right Don’t buy. Does not work with Airtel Xstream box, a lot of disturbance in voice. Complain logged with Harman but no response for Harman India, and mic problem may be due to bad Bluetooth poor connectivity. Harman International Case # 06599611: Warranty form ref:_00Di0fiJD._5001Y1TFDm7:ref. Next your wish or as you like.",1.0 out of 5 stars
Reviewed in India on 25 February 2020,E-tail critic,Extraordinary,"I was in a big mind struggle on selecting the right and the best wireless earphones . Was wavering preferences between either boat 255 sportz or Boult or this one . I made my choice and I am not wrong . What a master piece Harman had delivered and that too at this price zone ....it's completely extraordinary . The bass is so balanced and compliments treble so well , quality is on par with shenheiser brand . Go for it ,you would really feel the same .",5.0 out of 5 stars
