date_info,name,title,content,rating
Reviewed in India on 20 July 2018,Chaitanya Sai,Pretty good color calibrated monitor in the price range.,The very first thing I loved about this monitor is that its color calibrated. Not many monitors are. The first monitor I received took a beating during shipping and had a horrible backlight bleed. The second one was good and has no backlight bleed issues. The display quality is fantastic. The color is uniform and there is no flicker. There is a bit of IPS glow just like any other IPS panel. Navigation using the joystick is a breeze. I paired it up with my PS4 and everything has been smooth sailing. Just remember that if you notice backlight bleed after buying this monitor get a replacement asap. No one is mentioning about backlight bleed here and just accepting it as if it's a common defect.,5.0 out of 5 stars
Reviewed in India on 12 May 2019,Akshay ashara,Stop working after 2 days,"So the monitor stop working after 2 days of use , it was good until 2days but after that it become a trash. So I got a replacement for the monitor later. Guess what. It's was not working either. And now I got a another replacement. It was working but the quality was so much disappointing after 3 days the colour of screen become more pink , so I adjusted it by reducing the red colour in rgb but still it was not a good experience. The Amazon services suck. I really wanted a refund I don't got it. Tip: for buying monitor. Don't get lured to free sync monitor if it's only 60hz monitor. For gaming look for High hz rate monitor instead of type of panel. Usually go for the tn panel it's cheaper and have high frame rate and more fps. For gaming fps is more important than viewing angle, color and contrast. 60hz monitor are not suitable for high end games go for a 120 or 144hz but don't buy that if you don't have a proper graphic card. Buy a ips panel only if you are going to watch too many videos but not for gaming unless you have a really enormous budget. Va panel is a compromising option between ips and TN panel",1.0 out of 5 stars
Reviewed in India on 8 October 2019,ROY,"<<dishonest Seller/LG>> , Top bar glowing all the time, too much IPS glow, Not for gaming,","<<dishonest Seller/LG>> THEY ARE SENDING RENEWED PRODUCT AT NEW BUYING.. I'm saying this because the display panel (i.e. LCD panel) changed to lower quality panel. At the display resolution 1920 X 1080 @ 75 Hz the blue color (color code #0078d7) looks pixelated and if the refresh rate is reduce to 60 Hz this problem almost gone. This thing happen when the panel mismatched with the controlled board.. I asked to monitor technicians and other who also repair monitors, they have same opinion.. I saw this monitor at our local computer shop and my friends also buy this same model from local shop. But the monitors from local shop has a grate picture quality and less back-light bleeding (barely noticeable ). And no pixelated blue color.. There is no option for No Star rating, so I've to given one Star.. I DON'T RECOMMENDED THIS MONITOR FOR GAMING. Because the response time is about 10ms on normal settings.. About 5ms is possible by turning on the faster mode but there is too much inverse ghosting. And that will be a bad experience of gaming.. Also beware of LG service at Westbengal region. According to their warranty policy the product can't be replaced only repaired. And the service person can't do anything except changing the service date.. (In my case I called for the upper bar glowing problem but the service person, instead of coming to my house he solved the problem by himself. Yes , the person send a problem solved massage to LG against my complained without coming to my house, without seeing the problem with monitor. That was his supper power)",1.0 out of 5 stars
Reviewed in India on 8 June 2019,Ankit Agarwal,Exceptionally GREAT,"Video watching is very impressive and it wont disappoint movie lovers. It can be also useful to beginner level editors. Setting up the black stabilizer well can help the editors. It has very good view angle at the same time. It provides flawless gaming experience as a monitor made for gamers.. Screen split feature is included in the on screen control. You can split the screen and assign different tasks on those. You can choose between many layouts, it can be life saver for web developers and few other professionals. While multitasking you can open PIP and play your favorite media in any part of the screen. Overall the on screen software is very simple to use while very useful. t performed exceptionally well compared to its budget. i will recommend LG22MP68VQ-P monitor for gamers, photo and video editors, web developers and professionals specially for those who are looking for a good monitor and tight on budget.",5.0 out of 5 stars
Reviewed in India on 12 October 2018,Chandrasekar Perambalam,Good one,"Very good for the price range I got this one for 6400RS in great Indian festival sale. Very good for development purpose. Matt finish is good, not recommended for photo editing",5.0 out of 5 stars
Reviewed in India on 16 October 2017,Sha R.,Good Monitor but screen size is 21.5 inch,"Monitor is good but it's software doesn't work in windows environment when connected with VGA cable, need to check with HDMI cable. Software works perfectly in Macbook when connected with HDMI cable. Appears like technically VGA cable doesn't support/provide two way communication. Sometimes when I remove macbook from HDMI and connect windows laptop with VGA cable then it does not recognize input signal and need to manually select input device.",4.0 out of 5 stars
Reviewed in India on 8 August 2020,Pritam,The best ! Don't hear anything else !,"I expected it to be good.. But when it came, I opened it and plugged it in.. then I was just delighted with happiness... Believe me it's the best panel under 10k budget.. Many of friends have different types of monitors .. but when it comes to picture quality.. This one is at the top of the list ... The color reproductions are outstanding... 75hz , free sync , alsmost borderless display and most importantly IPS panel and yes the best IPS panel in the segment... No bleeding issue... I didn't notice IPS glow... Blacks are pure blacks... But only minimal problem is that it can not be tilted backward... Don't be panic going through negative reviews.. I will give it 10/10 on the price",5.0 out of 5 stars
Reviewed in India on 22 October 2019,Amazon Customer,Very nice monitor. Removed 2 stars due to terrible VESA mount and video playback problems.,"The monitor is very nice overall with a matte finish and 3 side narrow bezel. Excellent product if you want to mount 2 next to each other.. I upgraded from an old LG monitor which was VESA mounted to the wall and was hoping put this in instead, first it did not come with the screws and the ones from the old monitor would not work (too long) and second you need to leave about 3 inches between the back of the monitor and the wall (so only a swivel type VESA stand will work).. Second problem is the handling of low resolution video (480p) and below. My earlier 19 inch monitor would handle 480p video quite well and the same looks extremely grainy on this 22 inch monitor. Don't know what is causing this but since I only changed the monitors and nothing else, I assume it is the monitor.",3.0 out of 5 stars
Reviewed in India on 12 July 2017,I.G,BEST BUDGET GAMING MONITOR OF THE WORLD,"INTRODUCTION :. :::::::::::::::::::::::::. If you are looking for a great monitor, your search has ended. Without a doubt, it is the best budget gaming monitor . It is also the best monitor for video editing, movie watching and Internet browsing under 10,000 Rupees. And I will also try to explain, why it is better than its competitors, the Dell S2216H and HP 22ES, which are also awesome monitors under 10,000.. WHY THIS MONITOR IS INTERESTING :. :::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::. Under the budget of 10,000,. a) It is among the very few monitors which are :. * 1) 21.5 inch (Dell S2216H, HP 22ES, Benq GW2255, Benq GW2255HM,LG 22MP58VQ, Benq RL2240HE, Samsung LS22E310HY/XL, LG 22M38D, BenQ GW2270HM, HP 22KD),. * 2) Full HD(Dell S2216H, HP 22ES, Benq GW2255, Benq GW2255HM,LG 22MP58VQ, LG 22M38D, BenQ GW2270HM, HP 22KD),. * 3) IPS (Dell S2216H, HP 22ES,LG 22MP58VQ),. * 4) Matte screen with IPS panel (LG 22MP58VQ and Samsung LS19F350HNWXXL(Glossy with PLS panel) ) (others have either glossy screen with IPS panel or matte screen with VA or TN panel). b) And is the only one which has :. * 1) Free-sync technology,. * 2) 75 Hz refresh rate(All other have 60 HZ). Please write in comments, if I am missing any monitor in the above list, so that others can read it.. ABOUT BRAND :. :::::::::::::::::::::::::. LG makes some awesome products and they keeps providing cutting edge technology in its monitors. No wonder, we see them so much on youtube and other websites.. BASIC INFORMATION :. :::::::::::::::::::::::::::::::::::::. I will try to explain what these terms mean in brackets after the specifications.. * Size 55.88cm (22). * Panel Type IPS (Best panel type for color reproduction). * Color Gamut (CIE1976) 72% (Color gamut refers to the various levels of colors that can potentially be displayed by a device.). * sRGB Coverage 86.1% (This is most common color gamut. Other are Adobe RGB and Photoshop RGB). * Color Depth (Num of Colors) 16.7M colors (Most common color depth. 10 and 12 bit color depth is for serious graphic designers). * Pixel Pitch (mm) 0.2915*0.2915 (Distance between centre of pixels to other centre of pixel. Lower the distance, sharper the image ). * Resolution 1920 x 1080. * Brightness(Typ.) 250cd/m2 (It's ok. Many other monitors offer the same brightness). * Contrast Ratio(Original) 1000:1 (Here VA panels are better, which offer better contrast ratios of 3000:1 like Benq GW2255, Benq GW2255HM. Better contrast ratio means deeper blacks. But for IPS 1000:1 contrast ratio is common.). * (DFC) Mega (LG's DFC is a meaningless number. Dynamic contrast means nothing, it's marketing jargon.). * (GTG) 5ms (Its not great, but its good for gaming. For awesome 1 ms response time look at TN panels like Benq RL2240HE). * Viewing Angle(CR≥10) 178/178 (One of the strong points of IPS panels is great viewing angles. No color distortion even if you look from very side). * Surface Treatment Anti-Glare,3H (Matte screen is a must have, if you have lot of light in your room). * Display interfaces D-Sub(VGA), DVI-D, HDMI (Many others have only two of these three display interfaces). * Audio output Headphone Out (Audio quality was not good, and why would anyone connect headphones to monitors instead of their PCs). * Maximum Power Consumption 17.6W. * Sleep Mode Power consumption Under 0.3W. ADDITIONAL INFORMATION :. ::::::::::::::::::::::::::::::::::::::::::::. * Also comes with cable holder, which is a detachable plastic part, that comes separately with the monitor and attaches itself to back of stand, and manages cables, so that you cannot see cables from front. It keeps things neat and managed.. * It is VESA mount compatible. Many budget monitors are not VESA mount compatible.. * Comes pre caliberated. Not many do. You get a printed 'color calibration factory report' with monitor inside box. You don't need to adjust anything by going into menu, if you don't want.. * Not all IPS are good but this really is and shows a lot better image than TN panels.. * You see sharper image on 22 inch 1080p screen, than 24 or 27 inch 1080p screen. As all three screens have same number of pixels, smaller size will have more pixel per inch than bigger screens.. BONUS INFORMATION :. :::::::::::::::::::::::::::. I am really enjoying this monitor. If you like to have lots of features at low price and still want good quality product, this monitor is for you. Honestly I am waiting to see which monitor will come to dethrone this one, as the best budget monitor. I mean which monitor will be able to add more features than this one without increasing the price and still maintaining the quality.. I have many stories to tell, about my experience with this monitor. How I connected this with different PCs and laptops and how it interacted differently on them. Not going to bore you guys with details but a word of advice try to use this monitor over HDMI, as it works better and adds feature instead of VGA.. You also get OnScreen Control Software with this monitor, which I liked. Its simple to use. You don't have to control monitor settings from menu by using the joystick but you can do it from this monitor using your mouse easily. It lets you add display presets to different applications. And the presets will change automatically, when you switch to different applications. For example; if I add Reader preset to Microsoft Word and Cinema preset to VLC player, the brightness and contrast will go down whenever I switch to Word and will go up, whenever I switch to VLC.. You can also use screen split feature with one click from it. Screen splitting is that you can split your screen and look at two, three or four windows at a time on your screen. For example; I can look at chrome and word, side by side and I will not have to switch between them again and again, if I am doing work which needs both of these applications. Although, Windows 10 and some other free softwares like WinSplit and GridVista,offer split screen feature, but I liked this software. It's easy.. Also the main thing. It really shows sharp image quality. Color and contrast are fantastic.. THE STAND OUT FEATURES OF THIS MONITOR:. ::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::. As mentioned above, it is the only Free-sync monitor available under Rs 10,000.. In short, Free-sync technology allows the monitor's refresh rate to continuously adapt with respect to graphic card's frame rate. So, in a instance if your graphic card was generating 48 frames per second, your monitor will adapt to show 48 frames per second. All other monitors are fixed at 60 Hz or you can say that they are fixed to show 60 frames per second.. Now the question is why your monitor needs to adapt according to graphic card. Because it solves two problems which are,. 1) tearing, when frames per second generated by your graphic card are more than 60Hz(or what monitor can output). 2) stuttering, which is generated to solve the problem of tearing by using Vertial sync technology (V-sync). Watch some youtube videos to understand better about Free-sync. Without watching these videos, you will not understand tearing and stuttering. And without understand them, you will not understand the need of Free-sync.. Some basic things about Free-sync :. 1) You will need a AMD graphic card for taking benefits of Free-sync. Because Free-sync is a AMD technology. NVidea has similar technology with name G-sync. But G-sync monitors are very costly in comparison to Free-sync monitors. And I am assured that they will not be available under Rs 10,000 for a long long time.. 2) You unlock 75Hz refresh rate when you unable Free-sync.. THE PEOPLE IT WILL BENEFIT MOST :. ::::::::::::::::::::::::::::::::::::::::::::::::::::::. Gamers (even with Nvidea graphic card, as they also get 75Hz), Video editors and designers (as colors are important for them, which they cannot get on TN and VA panels) and any casual user(who simply uses computer for using mails and watch youtube videos) will benefit from this monitor.. Laptop owners who want a bigger 22 inch and higher 1080 resolution matte screen in comparison to their mostly smaller 14 inch and lower 768 resolution glossy screen.. BEST PLACE TO BUY FROM:. ::::::::::::::::::::::::::::::::::::::::. Buy it from amazon, because many old units come with VGA cable. And here you get new manufactured units with HDMI cable. I received such a new unit that it was manufactured on 25th April in China and I was using it on 4 th June. Approximately 1 month after it was made. Quality of HDMI cable is good.. PROS :. ::::::::::. * 1) Free-sync. * 2) Anti glare IPS screen. * 3) 75 Hz refresh rate. * 4) Crisp image quality. * 4) Black stabilizers, for adjusting screen's gamma curve, which helps in seeing dark areas of games easily.. * 5) Awesome Onscreen Control Software. * 6) Best budget gaming monitor. CONS :. :::::::::::. * 1) Bezels are not as thin as many say.. * 2) Stand can only tilt, has no height adjustment or rotation. And also wobbles.. * 3) Only one HDMI.. * 4) Shows some IPS glow.. * 5) Glossy plastic back and stand.. * 6) Because of its popularity, it might not be available or sellers might increase their prices in future.. * 7) No speakers. ALTERNATIVES :. ::::::::::::::::::::::::. If you are not interested in many of the features present in this monitor you can also opt for Dell S2216H, LG 22MP58VQ and HP 22ES. Which sometimes go down in price. But HP22ES has slow response time of 14ms (GTG).. CONCLUSION :. ::::::::::::::::::::::. I didn't expected something like this will ever come under the price of 10,000. But it did. It's undoubtedly the best budget gaming monitor around the world.",5.0 out of 5 stars
Reviewed in India on 14 June 2018,Mohd O.,It's the best u can get under 10000,"It's great for gaming as well as watching media.. It's a great entertainment device..All u need is speakers when watching movies and u are all set..great response time, colour production and picture quality.. The bezeless design makes it stand out from it's competitors..",5.0 out of 5 stars
